title,description,coordinates,phoneNumbers,url
AFRICA WOMAN LAB,"Enregistré sous le N°0378/PA du 02 mars 2022, l’ONG Africa Woman Lab est un laboratoire de formation des femmes au nouveau métier du numérique. Nous accompagnons les étudiantes en fin de cycle à s’insérer dans le milieu professionnel et nous aidons les entrepreneures à lancer ou accroitre la visibilité de leur activité grâce aux nouvelles technologies de l’information et au web 4.0 (l’intelligence artificielle).",Non loin de la mairieAbidjan - Côte d’Ivoire,"[""+225 07 77 65 32 12"",""+225 07 88 21 28 55"",""+225 07 09 58 45 48""]",https://www.goafricaonline.com/ci/743830-africa-woman-lab-ong-abidjan-cote-ivoire
(HANDBALL OBJECTIF) HBO,"Handball Objectif, en abrégé HBO, est une organisation sans but lucratif qui s’est donnée pour mission de développer le handball ivoirien en se positionnant comme un pilier de la promotion de tous les acteurs de ce sport. Notre organisme est composé de personnes passionnées par le petit ballon rond qui ont décidé de mettre leur expérience multidisciplinaire au service de la discipline.","Cocody, Angré , Immeuble King Cash OscarsAbidjan - 11 BP 362 Abidjan 11 - Côte d’Ivoire","[""+225 27 22 53 18 51""]",https://www.goafricaonline.com/ci/581932-handball-objectif-ong-abidjan-cote-ivoire
(SOS HEPATITES CÔTE D'VOIRE ) SOSHEPARCI,"SOS Hépatites Côte d’Ivoire (Sosheparci) est une ONG de santé  fermement engagée dans la lutte contre les hépatites virales à travers des campagnes de sensibilisation, d’information, de dépistage,  de vaccination  contre les hépatites virales, dans le souci de la prise en charge,  la diminution, voire l’éradication,  des hépatites virales B et C (VHB / VHC) en Côte d’Ivoire.",SICOGI au sein de la PMIYopougon - 21 BP 571 Abidjan 21Abidjan - Côte d’Ivoire,"[""+225 07 07 35 59 28"",""+225 05 46 66 17 31""]",https://www.goafricaonline.com/ci/574475-sosheparci-ong-abidjan-cote-ivoire
3D (DROITS DEMOCRATIE DEVELOPPEMENT),,2 PlateauxCocodyAbidjan - Côte d’Ivoire,"[""+225 07 07 40 05 25"",""+225 01 01 02 08 02""]",https://www.goafricaonline.com/ci/76743-3d-ong-abidjan-cote-ivoire
ACF (ACTION CONTRE LA FAIM),"Opérant dans 40 pays pour lutter contre la malnutrition, la sécurité alimentaire et les moyens d'existence.","Rue Paul Langevin, Carrefour Amoré, Bietry - Zone 4 CMarcory - 18 BP 1842 Abidjan 18Abidjan - Côte d’Ivoire","[""+225 27 21 35 19 80"",""+225 27 21 74 57 75"",""+225 05 54 51 08 18"",""+225 05 05 23 41 67""]",https://www.goafricaonline.com/ci/61875-acf-organisations-non-gourvernementales-ong-abidjan-cote-ivoire
ACONDA VS CI,,"Rue L84, Villa N°15 (non loin du complexe Ferrari) - Angré 8è trancheCocody - 23 BP 2485 Abidjan 23Abidjan - Côte d’Ivoire","[""+225 27 22 50 81 40"",""+225 27 22 50 81 41""]",https://www.goafricaonline.com/ci/59966-aconda-vs-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
ACTION ENVIRONNEMENT PLUS,"Sensibilisation, Education et Action pour un Développement Durable en Côte d'Ivoire.
Agir pour un environnement sain et un cadre de vie toujours amélioré.",Agban Gendarmerie - AgbanAdjamé - 09 BP 3811 Abidjan 09Abidjan - Côte d’Ivoire,"[""+225 07 07 42 03 93"",""+225 05 46 96 97 97""]",https://www.goafricaonline.com/ci/103429-action-environnement-plus-organisations-non-gouvernementales-abidjan-cote-ivoire
ACTION FOR AFRICA,"Action for Africa est une Réseau humanitaire qui oeuvre au profit des communautés et des personnes en difficultés. Avec un accent particulier sur les enfants en situation de handicaps, abandonnés, et orphelins ...",II Plateaux VallonCocody - 06 BPM 6359 ABIDJAN 06Abidjan - Côte d’Ivoire,"[""+225 05 44 47 51 16""]",https://www.goafricaonline.com/ci/665331-action-for-africa-abidjan-cote-d-ivoire
ACTION FOR WORLD,"ACTION FOR WORLD est une Organisation à but non lucratif oeuvrant dans la santé, la protection des enfants, orphelins et veuves, l'éducation (prise en charge scolaire, formation de mise à niveau, formation qualifiante et diplôme), développement (promotion des objectifs de développement durable et mise en place de projets verts: valorisation de la nature par le reboisement)",Angré chateauCocodyAbidjan - Côte d’Ivoire,"[""+225 07 11 35 69 41"",""+225 05 03 97 87 58""]",https://www.goafricaonline.com/ci/575375-action-world-organisation-non-gouvernementale-ong-abidjan-cote-ivoire
ACTION POUR L'AVENIR DE L'ENVIRONNEMENT NATUREL-AAEN CI,"Fondation privée à but non lucratif, indépendante, apolitique et agnostique, dédiée à la protection et à la sauvegarde de l'environnement naturel en Côte d'Ivoire. AAEN-CI n'est pas une banale ONG !!!",Quartier N'Gromin (Anader)BP129 BINGERVILLEBingerville - Côte d’Ivoire,"[""+225 01 02 58 02 27""]",https://www.goafricaonline.com/ci/819987-aaen-organisations-non-gouvernementales-ong-bingerville-cote-ivoire
